#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
154,Curaçao,"45,127",,282 ,,"44,720",,125,3,"272,460","1,703","496,693","2,998,847","165,628 ",North America,45870,,,755
155,Aruba,"42,914",,227 ,,"42,438",,249,2,"398,078","2,106","177,885","1,650,093","107,803 ",North America,34751,,,"2,310"
156,Mauritius,"40,548",,"1,030 ",,"38,894",,624,,"31,763",807,"358,675","280,962","1,276,595 ",Africa,"311,2394",,,489
157,Mayotte,"40,297",,187 ,,N/A,N/A,N/A,,"139,977",650,"176,919","614,552","287,883 ",Africa,"71,5392",,,"129,032"
158,Tanzania,"39,679",,845 ,,N/A,N/A,N/A,7,624,13,,,"63,629,554 ",Africa,"1,60475,301",,,607
159,Togo,"39,256",,287 ,,"38,839",,130,,"4,500",33,"795,598","91,208","8,722,888 ",Africa,"22230,39311",,,15
160,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"441,635","1,348","150,753","1,751,679","86,062 ",Europe,27421,,,"128,954"
161,Guinea,"37,999",,456 ,,"37,073",,470,8,"2,724",33,"660,107","47,325","13,948,315 ",Africa,"36730,58821",,,34
162,Bahamas,"37,334",,833 ,,"36,226",,275,2,"92,907","2,073","248,846","619,263","401,842 ",North America,114822,,,684
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,173",568,"778,000","15,784,775","49,288 ",Europe,"11,7600",,,"546,522"
164,Lesotho,"34,490",,706 ,,"25,980",,"7,804",,"15,813",324,"431,221","197,707","2,181,106 ",Africa,"633,0895",,,"3,578"
165,Haiti,"33,764",,857 ,,"31,434",,"1,473",,"2,881",73,"132,422","11,298","11,720,637 ",North America,"34713,67689",,,126
166,Mali,"32,711",,742 ,,"31,865",,104,,"1,515",34,"765,644","35,469","21,586,240 ",Africa,"66029,09228",,,5
167,Cayman Islands,"30,809",,34 ,,"8,553",,"22,222",1,"456,511",504,"222,773","3,300,928","67,488 ",North America,"21,9850",,,"329,273"
168,Saint Lucia,"29,550",,404 ,,"29,095",,51,,"159,259","2,177","210,983","1,137,087","185,547 ",North America,64591,,,275
